region,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cherkasy,1536200,1530000,1517600,1501300,1484600,1470400,1453700,1438000,1418800,1403000,1386600,1372600,1357100,1341500,1328000,1315500,1304300,1295200,1285400,1277300,1268900,1260000,1251800,1243000,1231200,1220400,1206400,1192100,1178300,1159200
Chernihiv,1393900,1384800,1367300,1349400,1331000,1315300,1297400,1279700,1262100,1245300,1225200,1206800,1187700,1168400,1151900,1135900,1121300,1109700,1098200,1088500,1077800,1066800,1055700,1045000,1033400,1020100,1005700,991300,976700,957665
Chernivtsi,945800,946800,945400,945400,942800,939800,936600,932300,927900,922800,918400,914600,911500,908200,906300,904500,904100,904400,904300,905300,907200,908500,910000,909900,908100,906700,904400,901600,896600,889928
Dnipro,3936400,3923700,3888800,3848300,3805000,3758700,3714900,3662600,3612600,3567600,3532900,3502600,3476200,3447200,3422900,3398400,3374200,3355500,3336500,3320300,3307800,3292400,3276600,3254900,3230400,3231100,3206500,3176600,3142000,3093151
Donetsk,5365800,5331500,5266900,5200900,5129400,5068900,5013100,4953400,4893600,4841100,4774300,4720900,4671900,4622900,4580600,4538900,4500500,4466700,4433000,4403200,4375400,4343900,4297000,4265100,4244000,4200500,4165899,4131800,4100300,4056405
Ivano-Frankivsk,1461000,1465600,1466800,1462300,1455400,1448200,1439600,1430100,1420200,1409800,1403600,1397800,1393600,1388900,1385400,1382600,1381100,1380700,1379800,1380100,1381800,1382100,1382600,1382300,1379900,1377500,1373300,1368100,1361100,1350565
Kharkiv,3182100,3158200,3123300,3087800,3053900,3022700,2994500,2965900,2937300,2914200,2887800,2866700,2848400,2829000,2812100,2795900,2782400,2769100,2755100,2742200,2744400,2737200,2731300,2718600,2701200,2694000,2675600,2658500,2633800,2596250
Kherson,1281200,1282200,1275200,1261000,1246000,1233000,1218600,1205600,1189700,1175100,1161300,1149800,1138200,1126500,1117100,1107500,1099200,1093400,1088200,1083400,1078200,1072500,1067900,1062400,1055600,1047000,1037599,1027900,1016700,1000370
Khmelnytskyi,1527200,1525500,1517000,1508300,1497100,1484400,1472600,1458900,1445000,1430800,1414900,1401100,1388000,1373400,1361400,1350300,1341400,1334000,1326900,1320200,1314000,1307000,1301200,1294400,1285300,1274400,1264700,1254700,1243800,1227474
Kropyvnytskyi,1251200,1246300,1236200,1224800,1210800,1196400,1180800,1164500,1146900,1133100,1115800,1100000,1083900,1067200,1053100,1039700,1027000,1017800,1010000,1002400,995200,987600,980600,973100,965800,956300,945500,933100,920100,902275
